Cuba,CUB,,
Curacao,CUW,3073840325,
Cayman Islands,CYM,6600844002,
Cyprus,CYP,29250532020,32229622669
Czechia,CZE,2.90566E+11,3.30858E+11
Germany,DEU,4.08247E+12,4.45608E+12
Djibouti,DJI,3674298479,4098530514
Dominica,DMA,607159259.3,653992592.6
Denmark,DNK,4.00167E+11,4.04199E+11
Dominican Republic,DOM,1.13537E+11,1.21444E+11
Algeria,DZA,2.2556E+11,2.39899E+11
East Asia & Pacific (excluding high income),EAP,2.11138E+13,2.11502E+13
Early-demographic dividend,EAR,1.41311E+13,1.48478E+13
East Asia & Pacific,EAS,3.06638E+13,3.07757E+13
Europe & Central Asia (excluding high income),ECA,1.80304E+12,2.09835E+12
Europe & Central Asia,ECS,2.53893E+13,2.72406E+13
Ecuador,ECU,1.16586E+11,1.18845E+11
"Egypt, Arab Rep.",EGY,4.76748E+11,3.95926E+11
Euro area,EMU,1.42243E+13,1.55449E+13
Eritrea,ERI,,
Spain,ESP,1.4178E+12,1.58069E+12
Estonia,EST,37921480882,40744848828
Ethiopia,ETH,1.26773E+11,1.63698E+11
European Union,EUU,1.67615E+13,1.83494E+13
Fragile and conflict affected situations,FCS,1.95001E+12,1.9068E+12
Finland,FIN,2.81887E+11,3.00187E+11
Fiji,FJI,4979979531,5494797541
France,FRA,2.77909E+12,3.0309E+12
Faroe Islands,FRO,3555929833,
"Micronesia, Fed. Sts.",FSM,430000000,460000000
Gabon,GAB,21071739228,20516134389
United Kingdom,GBR,3.08884E+12,3.34003E+12
Georgia,GEO,24984568960,30535530479
Ghana,GHA,74263364042,76370394412
Gibraltar,GIB,,
Guinea,GIN,20999229260,23612295818
"Gambia, The",GMB,2175099790,2339904157
Guinea-Bissau,GNB,1714166526,1966461400
Equatorial Guinea,GNQ,13486788879,12116922539
Greece,GRC,2.17581E+11,2.38206E+11
Grenada,GRD,1224577778,1320334236
Greenland,GRL,,
Guatemala,GTM,95003330316,1.0205E+11
Guam,GUM,6910000000,
Guyana,GUY,14718388489,16786302158
High income,HIC,6.44444E+13,6.76537E+13
"Hong Kong SAR, China",HKG,3.58696E+11,3.82055E+11
Honduras,HND,31426041807,34400509852
Heavily indebted poor countries (HIPC),HPC,9.81675E+11,1.13047E+12
Croatia,HRV,71997070660,82688842717
Haiti,HTI,20253551921,19850829758
Hungary,HUN,1.77006E+11,2.12389E+11
IBRD only,IBD,3.77332E+13,3.8733E+13
IDA & IBRD total,IBT,4.0567E+13,4.15597E+13
IDA total,IDA,2.835E+12,2.82804E+12
IDA blend,IDB,1.18366E+12,1.04402E+12
Indonesia,IDN,1.31908E+12,1.37117E+12
IDA only,IDX,1.65136E+12,1.78607E+12
Isle of Man,IMN,,
India,IND,3.35347E+12,3.54992E+12
Not classified,INX,,
Ireland,IRL,5.3314E+11,5.45629E+11
"Iran, Islamic Rep.",IRN,4.13395E+11,4.01505E+11
Iraq,IRQ,2.8664E+11,2.50843E+11
Iceland,ISL,28701830402,31020032583
Israel,ISR,5.25002E+11,5.09901E+11
Italy,ITA,2.06697E+12,2.25485E+12
Jamaica,JAM,17097760687,19423355367
Jordan,JOR,48653381831,50813642349
Japan,JPN,4.25641E+12,4.21295E+12
Kazakhstan,KAZ,2.25496E+11,2.61421E+11
Kenya,KEN,1.1342E+11,1.07441E+11
Kyrgyz Republic,KGZ,12134931018,13987627909
Cambodia,KHM,29504829319,31772759999
Kiribati,KIR,270520731.6,279034355.1
St. Kitts and Nevis,KNA,981429629.6,1077033111
"Korea, Rep.",KOR,1.67392E+12,1.71279E+12
Kuwait,KWT,1.82809E+11,1.61772E+11
Latin America & Caribbean (excluding high income),LAC,5.38951E+12,6.05058E+12
Lao PDR,LAO,15468785204,15843155731
Lebanon,LBN,20992421949,
Liberia,LBR,4001047000,4332000000
Libya,LBY,55938727098,50491722446
St. Lucia,LCA,2343703788,2519925939
Latin America & Caribbean,LCN,6.34168E+12,7.09433E+12
Least developed countries: UN classification,LDC,1.42462E+12,1.50425E+12
Low income,LIC,5.30579E+11,6.46798E+11
Liechtenstein,LIE,7364654515,
Sri Lanka,LKA,74144875098,84356860421
Lower middle income,LMC,7.3411E+12,7.38475E+12
Low & middle income,LMY,3.64386E+13,3.74252E+13
Lesotho,LSO,2289355249,2046039024
Late-demographic dividend,LTE,2.80626E+13,2.83414E+13
Lithuania,LTU,71013953448,77836396963
Luxembourg,LUX,81641807866,85755006124
Latvia,LVA,40422521943,43627078481
"Macao SAR, China",MAC,24464719190,47061843716
St. Martin (French part),MAF,,
Morocco,MAR,1.30913E+11,1.41109E+11
Monaco,MCO,8784002932,
Moldova,MDA,14510490660,16539436547
Madagascar,MDG,15302510500,16031702915
Maldives,MDV,6170638746,6600000000
Middle East & North Africa,MEA,4.49712E+12,4.28768E+12
Mexico,MEX,1.46332E+12,1.78889E+12
Marshall Islands,MHL,258774475.1,284000000
Middle income,MIC,3.59079E+13,3.67869E+13
North Macedonia,MKD,13711469681,14761237042
Mali,MLI,18780322204,20904898296
Malta,MLT,18357069273,20956999452
Myanmar,MMR,62253049892,64815031669
Middle East & North Africa (excluding high income),MNA,1.7601E+12,1.64655E+12
Montenegro,MNE,6229801581,7404541965
Mongolia,MNG,17146471714,19872180370
Northern Mariana Islands,MNP,,
Mozambique,MOZ,18406835495,20624597847
Mauritania,MRT,9744039515,10452577063
Mauritius,MUS,12927979286,14397127281
Malawi,MWI,13129458326,14084341062
Malaysia,MYS,4.07027E+11,3.99649E+11
North America,NAC,2.79134E+13,2.95093E+13
Namibia,NAM,12567271005,12351024844
New Caledonia,NCL,9623318718,
Niger,NER,15433852712,16819170421
Nigeria,NGA,4.72625E+11,3.62815E+11
Nicaragua,NIC,15649934215,17829215284
Netherlands,NLD,1.0094E+12,1.11812E+12
Norway,NOR,5.93727E+11,4.85513E+11
Nepal,NPL,41182939601,40908073367
Nauru,NRU,153824609.5,154127798.2
New Zealand,NZL,2.46734E+11,2.53466E+11
OECD members,OED,6.01701E+13,6.40989E+13
Oman,OMN,1.14667E+11,1.08192E+11
Other small states,OSS,2.23331E+11,2.34402E+11
Pakistan,PAK,3.74788E+11,3.38368E+11
Panama,PAN,76522511781,83382400000
Peru,PER,2.46489E+11,2.67603E+11
Philippines,PHL,4.04353E+11,4.37146E+11
Palau,PLW,242333709.7,263020733.7
Papua New Guinea,PNG,31603619037,30932496250
Poland,POL,6.89763E+11,8.11229E+11
Pre-demographic dividend,PRE,1.63959E+12,1.56253E+12
Puerto Rico,PRI,1.13567E+11,1.17902E+11
"Korea, Dem. People's Rep.",PRK,,
Portugal,PRT,2.55197E+11,2.8708E+11
Paraguay,PRY,41952910858,42956263544
West Bank and Gaza,PSE,19165500000,17396300000
Pacific island small states,PSS,10316299127,11232231820
Post-demographic dividend,PST,5.65642E+13,5.98518E+13
French Polynesia,PYF,5814661209,
Qatar,QAT,2.3577E+11,
Romania,ROU,2.98892E+11,3.51003E+11
Russian Federation,RUS,2.26603E+12,2.02142E+12
Rwanda,RWA,13316160804,14097768648
South Asia,SAS,4.32729E+12,4.47557E+12
Saudi Arabia,SAU,1.10857E+12,1.06758E+12
Sudan,SDN,51666875363,1.09327E+11
Senegal,SEN,27619479060,31013986429
Singapore,SGP,4.98475E+11,5.01428E+11
Solomon Islands,SLB,1566360686,1631286701
Sierra Leone,SLE,4094563859,3809832237
El Salvador,SLV,31988920000,34015620000
San Marino,SMR,,
Somalia,SOM,10419541202,11679800110
Serbia,SRB,63563410721,75187125427
Sub-Saharan Africa (excluding high income),SSA,2.05904E+12,2.03061E+12
South Sudan,SSD,,
Sub-Saharan Africa,SSF,2.0611E+12,2.03275E+12
Small states,SST,2.81851E+11,2.98978E+11
Sao Tome and Principe,STP,542686976.5,603240749
Suriname,SUR,3620987993,3782437296
Slovak Republic,SVK,1.15585E+11,1.32794E+11
Slovenia,SVN,60063475466,68216781411
Sweden,SWE,5.9041E+11,5.93268E+11
Eswatini,SWZ,4790922789,4597855845
Sint Maarten (Dutch part),SXM,1537088715,1623165683
Seychelles,SYC,2057968520,2141450171
Syrian Arab Republic,SYR,,
Turks and Caicos Islands,TCA,1228794383,1402054391
Chad,TCD,12396807590,13149325359
East Asia & Pacific (IDA & IBRD countries),TEA,2.10877E+13,2.11241E+13
Europe & Central Asia (IDA & IBRD countries),TEC,5.22007E+12,5.46628E+12
Togo,TGO,8169476149,9171261835
Thailand,THA,4.95645E+11,5.14945E+11
Tajikistan,TJK,10713525200,12060602009
Turkmenistan,TKM,56542857143,59887334844
Latin America & the Caribbean (IDA & IBRD countries),TLA,6.04525E+12,6.77278E+12
Timor-Leste,TLS,3204753000,2243142908
Middle East & North Africa (IDA & IBRD countries),TMN,1.74095E+12,1.62917E+12
Tonga,TON,500274898.1,
South Asia (IDA & IBRD),TSA,4.32729E+12,4.47557E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,2.0611E+12,2.03275E+12
Trinidad and Tobago,TTO,30053575132,28139944790
Tunisia,TUN,44579761023,48529595417
Turkiye,TUR,9.07118E+11,1.10802E+12
Tuvalu,TUV,59065982.09,62280311.59
Tanzania,TZA,75769974505,79158286334
Uganda,UGA,45565333216,49272882214
Ukraine,UKR,1.6199E+11,1.78757E+11
Upper middle income,UMC,2.85676E+13,2.94037E+13
Uruguay,URY,70164683290,77240831587
United States,USA,2.57441E+13,2.73609E+13
Uzbekistan,UZB,81140823252,90889149307
St. Vincent and the Grenadines,VCT,966492592.6,1065962963
"Venezuela, RB",VEN,,
British Virgin Islands,VGB,,
Virgin Islands (U.S.),VIR,,
Viet Nam,VNM,4.10324E+11,4.29717E+11
Vanuatu,VUT,1022219298,1126313359
World,WLD,1.01225E+14,1.05435E+14
Samoa,WSM,832945205.6,934100336.3
Kosovo,XKX,9354903062,10438351483
"Yemen, Rep.",YEM,,
South Africa,ZAF,4.05271E+11,3.77782E+11
Zambia,ZMB,29163782140,28162630954
Zimbabwe,ZWE,27366627153,26538273499
